"","X","ID_PROV","ANEMIA","se","CV","var","ID_DEP","lasso","gb","mrp","ebma","direct_model_lasso","direct_minus_lasso","direct_minus_gb","direct_model_gb","direct_minus_mrp","direct_model_mrp","direct_minus_ebma","direct_model_ebma","samp_size","log_samp"
"22",216,216,0.450012414692255,0.0574303883815954,12.7619564497725,0.00329824950966088,2,0.424864983268897,0.366206597943236,0.43930773358814,0.393794782944826,1.05918923049359,0.0251474314233581,0.0838058167490187,1.22884846209682,0.0107046811041145,1.02436715833951,0.0562176317474295,1.14275870118702,86,4.45434729625351
"23",217,217,0.395931924241001,0.0727847374529279,18.383144423743,0.00529761800609164,2,0.358631842532147,0.363733336556479,0.359041133995395,0.362920589113812,1.10400660868676,0.0373000817088537,0.0321985876845218,1.08852250934531,0.0368907902456064,1.10274808859667,0.0330113351271891,1.09096021586374,58,4.06044301054642
"24",218,218,0.259650787461876,0.0135191614570274,5.20667069381117,0.000182767726501177,2,0.274321406508556,0.257544611142899,0.269836011792091,0.264011569070412,0.946520327256261,-0.0146706190466799,0.00210617631897725,1.00817790871116,-0.010185224330215,0.962254021386653,-0.0043607816085362,0.98348261167535,1193,7.08422642209792
"25",219,219,0.326558833105098,0.0487519078064278,14.9289815078246,0.00237674851476643,2,0.422711246328806,0.367020887984035,0.410689851103479,0.388816793079263,0.772534054727005,-0.0961524132237078,-0.0404620548789368,0.889755443889894,-0.084131017998381,0.795147073217587,-0.0622579599741655,0.839878418107642,99,4.59511985013459
"26",220,220,0.47335653731063,0.0910812760735416,19.241579844026,0.00829579885118471,2,0.399877459305359,0.323542694999441,0.411045134260179,0.367005810789063,1.18375398836662,0.0734790780052708,0.149813842311189,1.46304195590461,0.0623114030504511,1.15159260591322,0.106350726521567,1.28977940783257,36,3.58351893845611
"27",301,301,0.326794082396592,0.019183105135398,5.87008950551244,0.000367991522635734,3,0.336435721955274,0.366435064111813,0.334626358164498,0.363587181232446,0.971341807871508,-0.0096416395586823,-0.0396409817152205,0.891819900447287,-0.00783227576790607,0.976593966444043,-0.0367930988358544,0.898805291454068,692,6.53958595561767
"28",302,302,0.37671523880311,0.0154742020778264,4.1076655478527,0.000239450929945407,3,0.382418778197304,0.414957827997479,0.379048269302242,0.391367109733222,0.985085618909512,-0.00570353939419355,-0.038242589194369,0.907839817412479,-0.00233303049913169,0.993845030598804,-0.0146518709301123,0.962562334530104,1139,7.03790596344718
"29",303,303,0.459271820319726,0.0443597845804915,9.65872117945536,0.00196779048802761,3,0.528738335774234,0.583574420062639,0.527461188200887,0.5235611747527,0.868618349087951,-0.0694665154545083,-0.124302599742913,0.78699786099334,-0.0681893678811613,0.870721544245278,-0.0642893544329745,0.877207559434977,144,4.969813299576
"30",304,304,0.36691872281828,0.0387799069520972,10.5690728056151,0.00150388118321332,3,0.406081159824194,0.512527409256102,0.39818954627353,0.427634505472043,0.903560073993907,-0.0391624370059137,-0.145608686437822,0.715900683927982,-0.03127082345525,0.921467492685584,-0.060715782653763,0.858019449139769,176,5.17048399503815
"31",305,305,0.600123667651449,0.0298613526309836,4.97586651562075,0.000891700380951951,3,0.568709376752919,0.430189418875514,0.58149156516733,0.464218845139831,1.05523786345478,0.0314142908985299,0.169934248775935,1.39502191667134,0.0186321024841192,1.03204191358951,0.135904822511618,1.29276024429961,314,5.74939298590825
"32",306,306,0.419307155594612,0.025127299971557,5.99257599978812,0.000631381203860607,3,0.441587131674351,0.456502708410016,0.440131312362757,0.442734829995004,0.949545685366192,-0.0222799760797385,-0.0371955528154042,0.918520630589564,-0.0208241567681451,0.952686491092045,-0.0234276744003921,0.947084184904412,443,6.09356977004514
"33",307,307,0.559569013580778,0.0450146220799469,8.04451658105417,0.00202631620100044,3,0.489228522350809,0.481890708590156,0.494880055597346,0.456697269530815,1.1437783939742,0.0703404912299689,0.0776783049906218,1.16119485934452,0.0646889579834317,1.1307164377545,0.102871744049963,1.22525149790286,139,4.93447393313069
"34",401,401,0.263234551688904,0.00990581611478002,3.7631139420052,9.81251928998355e-05,4,0.286462480887407,0.256946284077664,0.281474671998416,0.27773263635635,0.918914584812128,-0.0232279291985034,0.00628826761124035,1.02447308251144,-0.0182401203095116,0.935198004921685,-0.0144980846674462,0.947798411963208,2457,7.80669637252118
"35",402,402,0.293833885507328,0.0455514000827265,15.5024326088458,0.00207493004949662,4,0.324215431053852,0.288559139697861,0.31499710374982,0.310148714830371,0.90629210507418,-0.0303815455465236,0.00527474580946713,1.01827960055256,-0.021163218242492,0.932814562449754,-0.0163148293230429,0.947396753418869,117,4.76217393479776
"36",403,403,0.270192736614403,0.053595335266321,19.8359644814613,0.00287245996230936,4,0.351544815027552,0.361064522925254,0.340353874670622,0.35058156157472,0.768586891526836,-0.0813520784131492,-0.0908717863108505,0.748322583524323,-0.0701611380562186,0.793858265535783,-0.0803888249603169,0.770698651123489,84,4.43081679884331
"37",404,404,0.443063287676999,0.06186064972245,13.9620346444834,0.00382673998408365,4,0.388207077660108,0.352318579435371,0.39457791101941,0.392023095415712,1.14130656851373,0.0548562100168912,0.0907447082416284,1.25756435663159,0.0484853766575887,1.12287909511286,0.0510401922612874,1.13019690130033,75,4.31748811353631
"38",405,405,0.43467323149808,0.0335416768790692,7.71652690998924,0.00112504408785988,4,0.414669707174013,0.316282744282735,0.418101411044576,0.382504646185003,1.04823965671472,0.0200035243240675,0.118390487215345,1.37431851517487,0.0165718204535036,1.03963588740851,0.0521685853130766,1.13638680165951,257,5.54907608489522
"39",406,406,0.376879424062524,0.11230145387112,29.7977142558172,0.0126116165415674,4,0.396483319363952,0.399405064779578,0.405211380987449,0.385104027662963,0.950555560993392,-0.0196038953014284,-0.0225256407170543,0.943602015338775,-0.0283319569249247,0.930081043489244,-0.00822460360043875,0.978643163899504,22,3.09104245335832
